experiment_name,run_id,seed,scenario,backbone,depth,train_intervention,loss,class_weight_mode,train_sampler,image_ablation,run_dir,best_epoch,selection_metric,best_score,split,class_name,f1
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,bobcat,0.6920415224913494
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,cat,0.6349206349206349
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,coyote,0.6666666666666666
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,dog,0.6482758620689655
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,opossum,0.8163265306122449
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,rabbit,0.7689243027888446
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,raccoon,0.6823529411764706
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,rodent,0.8739495798319328
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,skunk,0.8089887640449438
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,squirrel,0.7655502392344498
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,bird,0.6509433962264151
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,bobcat,0.6861924686192469
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,cat,0.7850467289719626
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,cis,coyote,0.8752642706131079
